radius,normalised_radius,mean_power,median_power,pixel_count
584,0.803301,385038.46875,245608.09375,1504
585,0.804677,397633.15625,257742.828125,1432
586,0.806052,355193.625,217845.140625,1458
587,0.807428,364227.90625,254620.859375,1396
588,0.808803,349039.6875,242954.5,1388
589,0.810179,297309.4375,205978.078125,1426
590,0.811554,312126.75,208849.8125,1334
591,0.81293,332814.90625,213016.296875,1376
592,0.814305,336583.21875,218199.640625,1332
593,0.815681,335538.09375,204563.71875,1352
594,0.817056,314317.28125,202208.609375,1322
595,0.818432,303051.40625,202746.375,1256
596,0.819807,300186.59375,202426.5625,1312
597,0.821183,303505.21875,216872.296875,1286
598,0.822558,297426.71875,201928.046875,1268
599,0.823934,301793.34375,199072.34375,1234
600,0.825309,282762.15625,205275.75,1180
601,0.826685,288948.53125,211103.0625,1296
602,0.828061,276913.96875,211458.296875,1190
603,0.829436,280884.71875,200611.546875,1192
604,0.830812,292174.375,200433.65625,1180
605,0.832187,292084.40625,205793.953125,1132
606,0.833563,265737.40625,191814.4375,1222
607,0.834938,236116.5625,153678.1875,1122
608,0.836314,253107.828125,183334.265625,1130
609,0.837689,271522.46875,185861.390625,1094
610,0.839065,239557.40625,164088.4375,1138
611,0.84044,254531.859375,163986.03125,1112
612,0.841816,230474.703125,155279.9375,1044
613,0.843191,225152.9375,167091.34375,1088
614,0.844567,235842.359375,157085.484375,1060
615,0.845942,239787.84375,153756.0,1068
616,0.847318,240504.875,178620.6875,1024
617,0.848693,248256.390625,175496.25,992
618,0.850069,222962.125,162601.40625,1058
619,0.851444,229680.328125,161433.890625,986
620,0.85282,216944.375,161038.515625,1006
621,0.854195,227186.5,153896.0625,956
622,0.855571,236275.8125,145195.609375,990
623,0.856946,227830.828125,143500.40625,958
624,0.858322,213215.09375,146439.890625,922
625,0.859697,197541.640625,128691.5546875,968
626,0.861073,197403.875,125168.6484375,904
627,0.862448,193203.875,114266.2734375,932
628,0.863824,181131.921875,122960.1484375,890
629,0.865199,184479.96875,127213.71875,872
630,0.866575,174542.65625,110434.921875,926
631,0.86795,191674.28125,140057.0,840
632,0.869326,201682.046875,153545.375,880
633,0.870702,206554.59375,127830.5546875,840
634,0.872077,181856.421875,123553.1484375,830
635,0.873453,167690.890625,118071.890625,858
636,0.874828,174670.96875,132759.59375,780
